"filename", "language", "JavaScript", "CSS", "XML", "Markdown", "JSON", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Layout.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 26, 5, 83
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Login\LoginGooglePass.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 10, 73
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Login\LoginPage.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 8, 117
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Navbar\Icons\IconsExport.js", "JavaScript", 162, 0, 0, 0, 0, 0, 0, 0, 9, 171
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Navbar\Navbar.js", "JavaScript", 183, 0, 0, 0, 0, 0, 0, 0, 6, 189
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Navbar\NavbarUserMenu.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 0, 5, 119
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Register\RegisterGooglePass.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 9, 97
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Register\RegisterPage.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 5, 51
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Register\RegisterPagePartTwo.js", "JavaScript", 133, 0, 0, 0, 0, 0, 0, 0, 9, 142
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Search\Search.js", "JavaScript", 172, 0, 0, 0, 0, 0, 0, 16, 13, 201
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Search\SearchResults.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 67, 3, 125
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Customer\AddToCart.js", "JavaScript", 216, 0, 0, 0, 0, 0, 0, 21, 15, 252
